1. Have you used an AI-powered calculator to solve math problems?,2. What AI-powered calculator/s have you used? (Toggle all that applies),Mathway,Photomath,Symbolab,Wolfram Alpha,Socratic,Maple Calculator,CameraMath,Brilliant,Microsoft Math Solver,MyScript,Not Applicable,Others,3. What AI-powered calculator/s do you usually use? (Toggle all that applies),Mathway,Photomath,Symbolab,Wolfram Alpha,Socratic,Maple Calculator,CameraMath,Brilliant,Microsoft Math Solver,MyScript,Not Applicable,Others,4. How often do you use AI-powered calculators?,5. How long have you been using an AI-powered calculator?,"6. In what specific branch of mathematics do you frequently use an AI-powered
calculator?",Arithmetic,Algebra,Trigonometry,Numerical Methods,Derivatives,Integrals,Differential Equations,Not Applicable,7. How do you solve math problems with simple expressions / equations?,8. How do you solve math problems with complex expressions / equations?,9. Do you think that using AI-powered calculators benefit your math studies?,10. Will you continue using AI-powered calculators to complete math problems?,STATEMENT [I use an AI-powered calculator.],STATEMENT [I think I can effectively do my math tasks with the help of an AI-powered calculator.],STATEMENT [I am confident with my answers when I use an AI-powered calculator.],STATEMENT [I think AI-powered calculators have a negative impact on my learning capability.],STATEMENT [I think AI-powered calculators have a positive impact on my learning capability.],STATEMENT [I think I’m cheating when I use an AI-powered calculator.],STATEMENT [I choose not to study and rely only on AI-powered calculators.]
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,"Mathway, Wolfram Alpha",1,,,1,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,2,4,1,1
Yes,Microsoft Math Solver,,,,,,,,,1,,,,Microsoft Math Solver,,,,,,,,,1,,,,1-10 times per month,More than a year,Arithmetic,1, , , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,5,5,4,5,5,5,5
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,"Trigonometry, Derivatives, Integrals, Differential Equations", , ,1, ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,5,5,2,5,1,1
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,More than a year,"Trigonometry, Derivatives, Integrals, Differential Equations", , ,1, ,1,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,3,3,1,4,1,1
Yes,"Photomath, CameraMath, Brilliant, Microsoft Math Solver",,1,,,,,1,1,1,,,,"Mathway, Photomath, Maple Calculator, Microsoft Math Solver",1,1,,,,1,,,1,,,,1-5 times a week,Less than 6 months,"Arithmetic, Algebra, Trigonometry",1,1,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,4,3,3,2
Yes,"Mathway, Photomath, Symbolab, Maple Calculator",1,1,1,,,1,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,2,4,2,2
Yes,Socratic,,,,,1,,,,,,,,Socratic,,,,,1,,,,,,,,Once per day,Less than 6 months,Derivatives, , , , ,1, , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,4,3,4,4
Yes,CameraMath,,,,,,,1,,,,,,Socratic,,,,,1,,,,,,,,Once per day,6 months - 1 year,Algebra, ,1, , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,3,3,3,5,4,3
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,Once per day,Less than 6 months,"Algebra, Differential Equations", ,1, , , , ,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,2,2,2,2,2,2
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry, Derivatives, Integrals", ,1,1, ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,5,3,3,2,5
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry, Derivatives, Differential Equations", ,1,1, ,1, ,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,3,3,4,3,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,5,5,2,4,3,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,Once per day,6 months - 1 year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Pure AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,4,4,4,4
Yes,"Photomath, Wolfram Alpha, Socratic",,1,,1,1,,,,,,,,"Photomath, Socratic",,1,,,1,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,3,3,3,4,5,2
Yes,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,"Mathway, Wolfram Alpha",1,,,1,,,,,,,,,1-10 times per month,6 months - 1 year,"Derivatives, Integrals", , , , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,3,3,2,3,1,2
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra, Trigonometry, Derivatives, Integrals, Differential Equations",1,1,1, ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,No,3,3,3,4,3,2,2
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha, Socratic, Brilliant, Microsoft Math Solver",1,1,1,1,1,,,1,1,,,,"Mathway, Photomath, Symbolab, Wolfram Alpha, Socratic, Brilliant, Microsoft Math Solver",1,1,1,1,1,,,1,1,,,,1-10 times per month,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,4,3,4,3,4
Yes,"Mathway, Symbolab, Socratic",1,,1,,1,,,,,,,,"Mathway, Symbolab, Maple Calculator",1,,1,,,1,,,,,,,1-5 times a week,More than a year,"Trigonometry, Integrals", , ,1, , ,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,5,4,4,5,1,1
Yes,"Mathway, Photomath, Wolfram Alpha",1,1,,1,,,,,,,,,"Mathway, Photomath, Wolfram Alpha",1,1,,1,,,,,,,,,1-5 times a week,More than a year,"Arithmetic, Algebra, Trigonometry, Derivatives, Integrals, Differential Equations",1,1,1, ,1,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,5,4,3,4,1,1
No,Symbolab,,,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-5 times a week,Less than 6 months,"Trigonometry, Derivatives", , ,1, ,1, , , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,4,3,3,1
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,Symbolab,,,1,,,,,,,,,,2-10 times a day,More than a year,"Algebra, Trigonometry, Derivatives, Integrals", ,1,1, ,1,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,3,3,3,4,4,1
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-5 times a week,More than a year,Integrals, , , , , ,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,4,4,4,4,4
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha",1,1,1,1,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry, Integrals", ,1,1, , ,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,4,5,3,4,2,5
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-5 times a week,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,4,4,2,4,1,1
Yes,"Mathway, Photomath, Symbolab, Socratic",1,1,1,,1,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,More than 10 times a day,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,5,5,5,1,5,2,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Trigonometry, Integrals", , ,1, , ,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,5,5,2,5,2,1
Yes,"Photomath, Symbolab",,1,1,,,,,,,,,,"Photomath, Symbolab",,1,1,,,,,,,,,,2-10 times a day,More than a year,"Trigonometry, Derivatives", , ,1, ,1, , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,5,5,4,2,5,1,1
Yes,"Mathway, Photomath, Symbolab, Socratic, MyScript",1,1,1,,1,,,,,1,,,"Mathway, Photomath, Symbolab, MyScript",1,1,1,,,,,,,1,,,1-10 times per month,More than a year,"Trigonometry, Numerical Methods, Derivatives, Integrals", , ,1,1,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,5,5,4,2,4,2,2
Yes,Symbolab,,,1,,,,,,,,,,Symbolab,,,1,,,,,,,,,,1-10 times per month,Less than 6 months,Derivatives, , , , ,1, , , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,5,4,3,4,2,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,1-5 times a week,Less than 6 months,"Algebra, Trigonometry", ,1,1, , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,5,5,5,3,4,2,2
Yes,"Mathway, Symbolab",1,,1,,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-10 times per month,6 months - 1 year,Trigonometry, , ,1, , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,4,3,2,4,2,2
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,Integrals, , , , , ,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,No,Yes,3,3,4,5,3,4,1
Yes,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,Symbolab,,,1,,,,,,,,,,2-10 times a day,More than a year,"Trigonometry, Numerical Methods, Derivatives, Integrals", , ,1,1,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,3,3,1,4,3,1
Yes,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,5,3,4,3,2
No,Not Applicable,,,,,,,,,,,1,,Not Applicable,,,,,,,,,,,1,,Never,Not Applicable,Not Applicable, , , , , , , ,1,Pure manual calculation,Analyze first and try to solve it on my own.,No,No,1,1,1,3,1,3,1
No,Not Applicable,,,,,,,,,,,1,,Not Applicable,,,,,,,,,,,1,,Never,Not Applicable,Not Applicable, , , , , , , ,1,Pure manual calculation,Analyze first and try to solve it on my own.,No,No,1,1,1,1,1,1,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,Less than 6 months,Trigonometry, , ,1, , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,5,5,5,3,5,2,2
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,4,3,2,4,1,1
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,Trigonometry, , ,1, , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,3,4,2,4,2,3
Yes,"Photomath, Wolfram Alpha",,1,,1,,,,,,,,,Wolfram Alpha,,,,1,,,,,,,,,1-5 times a week,More than a year,Differential Equations, , , , , , ,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,5,5,1,5,1,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,Less than 6 months,Algebra, ,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,4,3,1,4,4,1
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,"Arithmetic, Algebra",1,1, , , , , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,2,2,2,1,2,2,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,Integrals, , , , , ,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,2,3,5,4,5,3
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha, Socratic",1,1,1,1,1,,,,,,,,"Mathway, Photomath, Symbolab, Wolfram Alpha, Socratic",1,1,1,1,1,,,,,,,,1-5 times a week,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,3,3,1,1
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,6 months - 1 year,"Arithmetic, Algebra",1,1, , , , , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,3,3,4,2,2
Yes,"Mathway, Photomath, Symbolab, Wolfram Alpha, Socratic",1,1,1,1,1,,,,,,,,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,1-10 times per month,More than a year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals, Differential Equations",1,1,1,1,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,4,5,5,3,5,1,1
Yes,"Mathway, Photomath, Wolfram Alpha",1,1,,1,,,,,,,,,"Mathway, Photomath, Wolfram Alpha",1,1,,1,,,,,,,,,1-10 times per month,6 months - 1 year,"Arithmetic, Algebra, Trigonometry, Numerical Methods, Derivatives, Integrals",1,1,1,1,1,1, , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,5,5,3,3,3,4,3
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,6 months - 1 year,"Arithmetic, Algebra, Trigonometry, Derivatives",1,1,1, ,1, , , ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,4,4,4,3,2
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,"Derivatives, Differential Equations", , , , ,1, ,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,4,2,4,2,2
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-5 times a week,More than a year,Trigonometry, , ,1, , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,4,3,4,3,3
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Derivatives, Integrals", ,1, , ,1,1, , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,4,5,3,3,2,3
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,"Photomath, Symbolab",,1,1,,,,,,,,,,1-5 times a week,6 months - 1 year,"Trigonometry, Derivatives", , ,1, ,1, , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,5,5,1,5,2,3
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,4,4,2,4,1,1
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,More than a year,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,2,4,2,3,5
Yes,"Mathway, Symbolab, Integral Calculator",1,,1,,,,,,,,,1,"Mathway, Symbolab",1,,1,,,,,,,,,,1-5 times a week,6 months - 1 year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,4,4,2,4,2,2
Yes,Mathway,1,,,,,,,,,,,,Mathway,1,,,,,,,,,,,,1-10 times per month,Less than 6 months,"Derivatives, Integrals", , , , ,1,1, , ,Pure manual calculation,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,2,4,3,3,4,3,2
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-5 times a week,More than a year,"Trigonometry, Integrals, Differential Equations", , ,1, , ,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,3,4,4,2,4,1,1
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,6 months - 1 year,Arithmetic,1, , , , , , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,2,3,4,3,3,4,3
Yes,Photomath,,1,,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,More than a year,"Algebra, Trigonometry, Derivatives", ,1,1, ,1, , , ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,3,3,5,3,3,4,4
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Mathway, Photomath",1,1,,,,,,,,,,,1-10 times per month,Less than 6 months,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,5,5,1,4,1,1
Yes,"Mathway, Symbolab, Wolfram Alpha",1,,1,1,,,,,,,,,"Mathway, Symbolab",1,,1,,,,,,,,,,1-5 times a week,More than a year,"Trigonometry, Integrals, Differential Equations", , ,1, , ,1,1, ,Manual calculation with the aid of AI-powered calculator,Analyze first and try to solve it on my own.,Yes,Yes,5,4,4,3,5,2,3
Yes,"Mathway, Photomath, Symbolab",1,1,1,,,,,,,,,,Photomath,,1,,,,,,,,,,,1-10 times per month,6 months - 1 year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,3,3,4,2,3,4,5
Yes,"Mathway, Photomath",1,1,,,,,,,,,,,"Symbolab, Photomath",,1,1,,,,,,,,,,1-5 times a week,More than a year,"Derivatives, Integrals, Differential Equations", , , , ,1,1,1, ,Manual calculation with the aid of AI-powered calculator,Use an AI-powered calculator and first understand the given solution.,Yes,Yes,4,5,3,2,3,3,4
Yes,"Mathway, Symbolab, Integral Calculator",1,,1,,,,,,,,,1,Mathway,1,,,,,,,,,,,,1-5 times a week,6 months - 1 year,"Trigonometry, Derivatives", , ,1, ,1, , , ,Pure manual calculation,Analyze first and try to solve it on my own.,Yes,Yes,4,4,5,1,5,2,5
,,220,225,155,51,28,7,15,10,26,5,12,6,,165,161,104,20,11,6,4,2,15,1,13,3,,,,70,127,124,24,163,161,100,12,,,,,,,,,,,
